DOCUMENT RANK,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
QUERY_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0.166666667,0.142857143,0.125,0.111111111,0.1,0.090909091,0.083333333,0.076923077,0.071428571,0.066666667,0.0625,0.058823529,0.055555556,0.052631579,0.05,0.047619048,0.045454545,0.043478261,0.041666667,0.04,0.076923077,0.074074074,0.071428571,0.068965517,0.066666667,0.064516129,0.0625,0.060606061,0.058823529,0.057142857,0.055555556,0.054054054,0.052631579,0.051282051,0.05,0.048780488,0.047619048,0.046511628,0.045454545,0.044444444,0.043478261,0.042553191,0.041666667,0.040816327,0.04,0.039215686,0.038461538,0.037735849,0.037037037,0.036363636,0.035714286,0.035087719,0.034482759,0.033898305,0.033333333,0.032786885,0.032258065,0.031746032,0.03125,0.030769231,0.03030303,0.029850746,0.029411765,0.028985507,0.028571429,0.028169014,0.027777778,0.02739726,0.027027027,0.026666667,0.026315789,0.025974026,0.025641026,0.025316456,0.025,0.024691358,0.024390244,0.024096386,0.023809524,0.023529412,0.023255814,0.022988506,0.022727273,0.02247191,0.022222222,0.021978022,0.02173913,0.021505376,0.021276596,0.021052632,0.020833333,0.020618557,0.020408163,0.02020202,0.02
2,1,0.5,0.333333333,0.5,0.4,0.333333333,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.157894737,0.15,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.049180328,0.048387097,0.047619048,0.046875,0.046153846,0.045454545,0.044776119,0.044117647,0.043478261,0.042857143,0.042253521,0.041666667,0.04109589,0.040540541,0.04,0.039473684,0.038961039,0.038461538,0.037974684,0.0375,0.037037037,0.036585366,0.036144578,0.035714286,0.035294118,0.034883721,0.034482759,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.037037037,0.035714286,0.034482759,0.033333333,0.032258065,0.03125,0.03030303,0.029411765,0.028571429,0.027777778,0.027027027,0.026315789,0.025641026,0.025,0.024390244,0.023809524,0.023255814,0.022727273,0.022222222,0.02173913,0.021276596,0.020833333,0.020408163,0.02,0.019607843,0.019230769,0.018867925,0.018518519,0.018181818,0.017857143,0.01754386,0.017241379,0.016949153,0.016666667,0.016393443,0.016129032,0.015873016,0.015625,0.015384615,0.015151515,0.014925373,0.014705882,0.014492754,0.014285714,0.014084507,0.013888889,0.01369863,0.013513514,0.013333333,0.026315789,0.025974026,0.025641026,0.025316456,0.025,0.024691358,0.024390244,0.024096386,0.023809524,0.023529412,0.023255814,0.022988506,0.022727273,0.02247191,0.022222222,0.021978022,0.02173913,0.021505376,0.021276596,0.021052632,0.020833333,0.020618557,0.020408163,0.02020202,0.02
4,0,0.5,0.333333333,0.25,0.2,0.166666667,0.142857143,0.125,0.111111111,0.1,0.090909091,0.083333333,0.076923077,0.071428571,0.066666667,0.0625,0.058823529,0.055555556,0.052631579,0.05,0.047619048,0.045454545,0.043478261,0.041666667,0.04,0.038461538,0.037037037,0.035714286,0.034482759,0.066666667,0.064516129,0.0625,0.060606061,0.058823529,0.057142857,0.055555556,0.054054054,0.052631579,0.051282051,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.049180328,0.064516129,0.063492063,0.0625,0.061538462,0.060606061,0.059701493,0.058823529,0.057971014,0.057142857,0.056338028,0.055555556,0.054794521,0.054054054,0.053333333,0.052631579,0.051948052,0.051282051,0.050632911,0.05,0.049382716,0.048780488,0.048192771,0.047619048,0.047058824,0.046511628,0.045977011,0.045454545,0.04494382,0.044444444,0.043956044,0.043478261,0.043010753,0.042553191,0.042105263,0.041666667,0.041237113,0.040816327,0.04040404,0.04
5,0,0,0.333333333,0.25,0.2,0.166666667,0.142857143,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.173913043,0.166666667,0.16,0.153846154,0.148148148,0.142857143,0.137931034,0.133333333,0.129032258,0.125,0.121212121,0.117647059,0.114285714,0.111111111,0.108108108,0.105263158,0.102564103,0.1,0.097560976,0.095238095,0.093023256,0.090909091,0.088888889,0.086956522,0.106382979,0.104166667,0.102040816,0.1,0.098039216,0.096153846,0.094339623,0.092592593,0.090909091,0.089285714,0.087719298,0.086206897,0.084745763,0.083333333,0.081967213,0.080645161,0.079365079,0.078125,0.076923077,0.075757576,0.074626866,0.073529412,0.072463768,0.071428571,0.070422535,0.069444444,0.068493151,0.067567568,0.066666667,0.065789474,0.064935065,0.064102564,0.063291139,0.0625,0.061728395,0.06097561,0.060240964,0.05952381,0.058823529,0.058139535,0.057471264,0.056818182,0.056179775,0.055555556,0.054945055,0.054347826,0.053763441,0.053191489,0.052631579,0.052083333,0.051546392,0.051020408,0.050505051,0.05
6,0,0,0,0,0,0,0.142857143,0.125,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.049180328,0.048387097,0.047619048,0.046875,0.046153846,0.045454545,0.044776119,0.044117647,0.043478261,0.042857143,0.042253521,0.041666667,0.04109589,0.040540541,0.04,0.039473684,0.038961039,0.038461538,0.037974684,0.0375,0.037037037,0.036585366,0.036144578,0.035714286,0.035294118,0.034883721,0.034482759,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
7,1,0.5,0.666666667,0.5,0.6,0.5,0.428571429,0.375,0.333333333,0.3,0.272727273,0.25,0.230769231,0.214285714,0.266666667,0.25,0.235294118,0.222222222,0.263157895,0.25,0.238095238,0.227272727,0.217391304,0.208333333,0.2,0.192307692,0.185185185,0.178571429,0.206896552,0.2,0.193548387,0.1875,0.181818182,0.205882353,0.2,0.194444444,0.189189189,0.184210526,0.205128205,0.225,0.219512195,0.214285714,0.209302326,0.204545455,0.2,0.195652174,0.212765957,0.208333333,0.204081633,0.2,0.196078431,0.192307692,0.20754717,0.203703704,0.2,0.196428571,0.192982456,0.189655172,0.186440678,0.183333333,0.180327869,0.177419355,0.174603175,0.1875,0.184615385,0.181818182,0.179104478,0.176470588,0.173913043,0.171428571,0.169014085,0.166666667,0.164383562,0.162162162,0.16,0.157894737,0.155844156,0.153846154,0.151898734,0.15,0.148148148,0.146341463,0.144578313,0.142857143,0.141176471,0.139534884,0.137931034,0.136363636,0.134831461,0.133333333,0.131868132,0.130434783,0.129032258,0.138297872,0.136842105,0.135416667,0.134020619,0.132653061,0.131313131,0.13
8,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.071428571,0.066666667,0.0625,0.058823529,0.055555556,0.052631579,0.05,0.047619048,0.045454545,0.043478261,0.041666667,0.08,0.076923077,0.074074074,0.071428571,0.068965517,0.066666667,0.064516129,0.0625,0.060606061,0.058823529,0.057142857,0.055555556,0.054054054,0.052631579,0.051282051,0.05,0.048780488,0.047619048,0.046511628,0.045454545,0.044444444,0.043478261,0.042553191,0.041666667,0.040816327,0.04,0.039215686,0.038461538,0.037735849,0.037037037,0.036363636,0.035714286,0.035087719,0.034482759,0.033898305,0.033333333,0.032786885,0.032258065,0.031746032,0.03125,0.030769231,0.03030303,0.029850746,0.029411765,0.028985507,0.028571429,0.028169014,0.027777778,0.02739726,0.027027027,0.026666667,0.026315789,0.038961039,0.038461538,0.037974684,0.0375,0.037037037,0.036585366,0.036144578,0.035714286,0.035294118,0.034883721,0.034482759,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
9,0,0,0,0,0,0,0.142857143,0.125,0.111111111,0.2,0.181818182,0.25,0.230769231,0.214285714,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.137931034,0.133333333,0.129032258,0.125,0.121212121,0.117647059,0.142857143,0.138888889,0.135135135,0.131578947,0.128205128,0.125,0.12195122,0.119047619,0.11627907,0.113636364,0.111111111,0.108695652,0.106382979,0.104166667,0.102040816,0.1,0.098039216,0.096153846,0.094339623,0.092592593,0.090909091,0.089285714,0.087719298,0.086206897,0.084745763,0.083333333,0.081967213,0.080645161,0.079365079,0.078125,0.076923077,0.075757576,0.074626866,0.073529412,0.072463768,0.071428571,0.070422535,0.069444444,0.068493151,0.067567568,0.066666667,0.065789474,0.064935065,0.064102564,0.063291139,0.0625,0.061728395,0.073170732,0.072289157,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.0625,0.06185567,0.06122449,0.060606061,0.06
10,0,0.5,0.666666667,0.75,0.8,0.666666667,0.714285714,0.625,0.666666667,0.7,0.727272727,0.75,0.692307692,0.714285714,0.666666667,0.6875,0.647058824,0.611111111,0.631578947,0.65,0.619047619,0.590909091,0.565217391,0.541666667,0.52,0.5,0.481481481,0.464285714,0.482758621,0.466666667,0.451612903,0.4375,0.424242424,0.411764706,0.4,0.388888889,0.378378378,0.368421053,0.358974359,0.35,0.365853659,0.357142857,0.348837209,0.363636364,0.355555556,0.347826087,0.340425532,0.333333333,0.346938776,0.34,0.333333333,0.346153846,0.339622642,0.333333333,0.345454545,0.339285714,0.333333333,0.327586207,0.322033898,0.316666667,0.31147541,0.306451613,0.301587302,0.296875,0.292307692,0.287878788,0.28358209,0.279411765,0.275362319,0.271428571,0.267605634,0.263888889,0.260273973,0.256756757,0.253333333,0.25,0.246753247,0.243589744,0.240506329,0.2375,0.234567901,0.231707317,0.228915663,0.226190476,0.223529412,0.220930233,0.218390805,0.215909091,0.213483146,0.211111111,0.208791209,0.206521739,0.215053763,0.212765957,0.210526316,0.208333333,0.206185567,0.204081633,0.202020202,0.2
11,1,1,1,0.75,0.8,0.833333333,0.714285714,0.625,0.555555556,0.6,0.545454545,0.5,0.461538462,0.428571429,0.4,0.375,0.352941176,0.333333333,0.315789474,0.35,0.333333333,0.363636364,0.347826087,0.333333333,0.32,0.307692308,0.296296296,0.285714286,0.275862069,0.266666667,0.258064516,0.25,0.242424242,0.235294118,0.228571429,0.222222222,0.216216216,0.210526316,0.205128205,0.2,0.195121951,0.19047619,0.186046512,0.181818182,0.177777778,0.173913043,0.170212766,0.166666667,0.163265306,0.16,0.156862745,0.153846154,0.150943396,0.148148148,0.145454545,0.142857143,0.140350877,0.137931034,0.13559322,0.133333333,0.131147541,0.129032258,0.126984127,0.125,0.123076923,0.121212121,0.119402985,0.117647059,0.115942029,0.114285714,0.112676056,0.111111111,0.109589041,0.108108108,0.106666667,0.105263158,0.103896104,0.102564103,0.101265823,0.1,0.098765432,0.097560976,0.096385542,0.095238095,0.094117647,0.093023256,0.091954023,0.090909091,0.08988764,0.088888889,0.087912088,0.086956522,0.086021505,0.085106383,0.084210526,0.083333333,0.082474227,0.081632653,0.080808081,0.08
