DOCUMENT RANK,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
QUERY_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.5,0.333333333,0.25,0.2,0.166666667,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.06779661,0.066666667,0.06557377,0.064516129,0.063492063,0.0625,0.061538462,0.060606061,0.059701493,0.058823529,0.057971014,0.057142857,0.056338028,0.055555556,0.054794521,0.054054054,0.053333333,0.052631579,0.051948052,0.051282051,0.050632911,0.05,0.049382716,0.048780488,0.048192771,0.047619048,0.047058824,0.046511628,0.045977011,0.045454545,0.04494382,0.044444444,0.043956044,0.043478261,0.043010753,0.042553191,0.042105263,0.041666667,0.041237113,0.040816327,0.04040404,0.04
2,1,1,1,0.75,0.6,0.5,0.428571429,0.375,0.333333333,0.3,0.272727273,0.25,0.230769231,0.214285714,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.049180328,0.048387097,0.047619048,0.046875,0.046153846,0.045454545,0.044776119,0.044117647,0.043478261,0.042857143,0.042253521,0.041666667,0.04109589,0.040540541,0.04,0.039473684,0.038961039,0.038461538,0.037974684,0.0375,0.037037037,0.036585366,0.036144578,0.035714286,0.035294118,0.034883721,0.034482759,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
3,1,0.5,0.333333333,0.25,0.2,0.166666667,0.142857143,0.125,0.111111111,0.1,0.090909091,0.083333333,0.076923077,0.071428571,0.066666667,0.0625,0.058823529,0.055555556,0.052631579,0.05,0.047619048,0.045454545,0.043478261,0.041666667,0.08,0.076923077,0.074074074,0.071428571,0.068965517,0.066666667,0.064516129,0.0625,0.060606061,0.058823529,0.057142857,0.055555556,0.054054054,0.052631579,0.051282051,0.05,0.048780488,0.047619048,0.046511628,0.045454545,0.044444444,0.043478261,0.042553191,0.041666667,0.040816327,0.04,0.039215686,0.038461538,0.037735849,0.037037037,0.036363636,0.035714286,0.035087719,0.034482759,0.033898305,0.033333333,0.032786885,0.032258065,0.031746032,0.03125,0.030769231,0.03030303,0.029850746,0.029411765,0.028985507,0.028571429,0.028169014,0.027777778,0.02739726,0.027027027,0.026666667,0.026315789,0.025974026,0.025641026,0.025316456,0.025,0.024691358,0.024390244,0.024096386,0.023809524,0.023529412,0.023255814,0.022988506,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
4,1,0.5,0.333333333,0.5,0.4,0.333333333,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.095238095,0.090909091,0.086956522,0.083333333,0.08,0.076923077,0.074074074,0.071428571,0.068965517,0.066666667,0.064516129,0.0625,0.060606061,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.06557377,0.064516129,0.063492063,0.0625,0.061538462,0.060606061,0.059701493,0.058823529,0.072463768,0.071428571,0.070422535,0.069444444,0.068493151,0.067567568,0.066666667,0.065789474,0.064935065,0.064102564,0.063291139,0.075,0.074074074,0.073170732,0.072289157,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.0625,0.06185567,0.06122449,0.060606061,0.06
5,0,0,0,0.25,0.4,0.333333333,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.095238095,0.090909091,0.086956522,0.083333333,0.08,0.076923077,0.074074074,0.071428571,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.114285714,0.111111111,0.108108108,0.105263158,0.102564103,0.1,0.097560976,0.095238095,0.093023256,0.090909091,0.088888889,0.086956522,0.085106383,0.083333333,0.081632653,0.08,0.078431373,0.076923077,0.075471698,0.074074074,0.090909091,0.089285714,0.087719298,0.086206897,0.084745763,0.083333333,0.081967213,0.080645161,0.079365079,0.078125,0.076923077,0.075757576,0.074626866,0.073529412,0.072463768,0.071428571,0.070422535,0.069444444,0.068493151,0.067567568,0.066666667,0.065789474,0.064935065,0.064102564,0.063291139,0.0625,0.061728395,0.06097561,0.060240964,0.071428571,0.070588235,0.069767442,0.068965517,0.068181818,0.06741573,0.066666667,0.065934066,0.065217391,0.064516129,0.063829787,0.063157895,0.072916667,0.072164948,0.071428571,0.070707071,0.07
6,0,0.5,0.333333333,0.25,0.4,0.333333333,0.285714286,0.25,0.222222222,0.2,0.181818182,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.095238095,0.136363636,0.130434783,0.125,0.12,0.115384615,0.111111111,0.107142857,0.103448276,0.1,0.096774194,0.09375,0.090909091,0.088235294,0.085714286,0.083333333,0.081081081,0.078947368,0.076923077,0.075,0.073170732,0.071428571,0.069767442,0.068181818,0.066666667,0.065217391,0.063829787,0.0625,0.06122449,0.06,0.058823529,0.057692308,0.056603774,0.055555556,0.054545455,0.053571429,0.052631579,0.051724138,0.050847458,0.05,0.049180328,0.048387097,0.047619048,0.046875,0.046153846,0.045454545,0.044776119,0.044117647,0.043478261,0.042857143,0.042253521,0.041666667,0.04109589,0.040540541,0.04,0.039473684,0.038961039,0.038461538,0.037974684,0.0375,0.037037037,0.036585366,0.036144578,0.035714286,0.035294118,0.034883721,0.034482759,0.034090909,0.033707865,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
7,1,0.5,0.666666667,0.75,0.8,0.666666667,0.714285714,0.75,0.777777778,0.8,0.727272727,0.75,0.692307692,0.642857143,0.6,0.5625,0.529411765,0.5,0.473684211,0.45,0.428571429,0.409090909,0.391304348,0.375,0.36,0.346153846,0.333333333,0.321428571,0.310344828,0.3,0.290322581,0.28125,0.303030303,0.294117647,0.285714286,0.277777778,0.27027027,0.263157895,0.256410256,0.25,0.243902439,0.238095238,0.23255814,0.227272727,0.222222222,0.217391304,0.234042553,0.229166667,0.224489796,0.24,0.235294118,0.230769231,0.245283019,0.240740741,0.236363636,0.232142857,0.228070175,0.224137931,0.237288136,0.233333333,0.229508197,0.225806452,0.222222222,0.21875,0.215384615,0.212121212,0.208955224,0.205882353,0.202898551,0.2,0.197183099,0.194444444,0.191780822,0.189189189,0.186666667,0.184210526,0.181818182,0.179487179,0.17721519,0.175,0.172839506,0.170731707,0.168674699,0.166666667,0.164705882,0.162790698,0.16091954,0.159090909,0.157303371,0.155555556,0.153846154,0.152173913,0.150537634,0.14893617,0.147368421,0.145833333,0.144329897,0.142857143,0.141414141,0.14
8,1,0.5,0.333333333,0.25,0.2,0.166666667,0.142857143,0.125,0.111111111,0.1,0.090909091,0.166666667,0.153846154,0.142857143,0.133333333,0.125,0.117647059,0.111111111,0.105263158,0.1,0.095238095,0.090909091,0.086956522,0.083333333,0.08,0.076923077,0.074074074,0.071428571,0.068965517,0.066666667,0.064516129,0.0625,0.060606061,0.058823529,0.057142857,0.055555556,0.054054054,0.052631579,0.051282051,0.05,0.048780488,0.047619048,0.046511628,0.045454545,0.044444444,0.043478261,0.042553191,0.041666667,0.040816327,0.04,0.039215686,0.038461538,0.037735849,0.037037037,0.036363636,0.035714286,0.035087719,0.034482759,0.033898305,0.033333333,0.032786885,0.032258065,0.031746032,0.03125,0.030769231,0.03030303,0.029850746,0.029411765,0.028985507,0.028571429,0.028169014,0.027777778,0.02739726,0.027027027,0.026666667,0.026315789,0.025974026,0.025641026,0.025316456,0.025,0.024691358,0.024390244,0.024096386,0.023809524,0.023529412,0.023255814,0.022988506,0.022727273,0.02247191,0.033333333,0.032967033,0.032608696,0.032258065,0.031914894,0.031578947,0.03125,0.030927835,0.030612245,0.03030303,0.03
9,0,0,0,0.25,0.4,0.5,0.428571429,0.375,0.333333333,0.3,0.272727273,0.25,0.230769231,0.214285714,0.2,0.1875,0.176470588,0.166666667,0.157894737,0.15,0.142857143,0.136363636,0.173913043,0.166666667,0.16,0.153846154,0.148148148,0.142857143,0.137931034,0.133333333,0.129032258,0.15625,0.151515152,0.147058824,0.142857143,0.138888889,0.162162162,0.157894737,0.153846154,0.15,0.146341463,0.142857143,0.139534884,0.136363636,0.133333333,0.130434783,0.127659574,0.125,0.12244898,0.12,0.117647059,0.115384615,0.113207547,0.111111111,0.109090909,0.107142857,0.105263158,0.103448276,0.101694915,0.1,0.098360656,0.096774194,0.095238095,0.09375,0.092307692,0.090909091,0.089552239,0.088235294,0.101449275,0.1,0.098591549,0.097222222,0.095890411,0.094594595,0.093333333,0.092105263,0.090909091,0.08974359,0.088607595,0.0875,0.086419753,0.085365854,0.084337349,0.083333333,0.082352941,0.081395349,0.08045977,0.079545455,0.078651685,0.077777778,0.076923077,0.076086957,0.075268817,0.074468085,0.073684211,0.072916667,0.072164948,0.071428571,0.070707071,0.07
