DOCUMENT RANK,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
QUERY_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
4,0,0.083333333,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
5,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
6,0,0,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.035714286,0.071428571,0.071428571,0.107142857,0.142857143,0.142857143,0.142857143,0.142857143,0.178571429,0.178571429,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.214285714,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.285714286,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.321428571,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857,0.357142857
8,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,0,0.111111111,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.444444444,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
